Name,URL,Building_Location,Location,Region,Independency,Job_opportunities,Colloquiums,OCW,latitude,longitude
University Of Colorado Boulder,https://www.colorado.edu/aps/,,"Boulder, CO 80309美國","Planetary Science,Observational Astrophysics,Theoretical Astrophysics,Astronomy Education,Space Physics,Solar Physics,Instrumentation",Yes,,,,40.00750702,-105.2663172
Durham University,https://astro.dur.ac.uk,"Institute for Computational Cosmology,
Ogden Centre for Fundamental Physics - West,
Department of Physics,
Durham University,
South Road,
Durham DH1 3LE","Lower Mountjoy, South Rd, Durham DH1 3LE, United Kingdom",Research in Theoretical Astrophysics,No,https://www.dur.ac.uk/jobs/,,,54.76707014,-1.573869609
Delft University Of Technology,https://spaceinstitute.tudelft.nl,,"Mekelweg 5, 2628 CD Delft, 荷蘭",,No,,,,52.00205978,4.373426395
Universität Hamburg,https://www1.physik.uni-hamburg.de/en.html,,,"Astroparticle Physics,Gravitational Wave Sources,Early Universe Relics,Magnetohydrodynamics in the Early Universe,Ultra-High Energy Cosmic Rays",No,,,,53.56998811,9.976685373
Perdue University,http://www.physics.purdue.edu,,,Astrophysics & Relativity,No,,,,40.42364004,-86.92123752
University Of Pisa,http://astro.df.unipi.it/SAA/,,"Lungarno Antonio Pacinotti, 43, 56126 Pisa PI, Italy","Cosmology/ Galactic Structure and Evolution,High Energy Astrophysics/ Astroparticle,Interstellar Medium,Planetary/ Extrasolar,Plasma/ MHD/ Fluids,Stellar Astrophysics",Yes,http://astro.df.unipi.it/SAA/astro_links_job.html,,,43.71666301,10.39884874
Sungkyunkwan University,http://physics.skku.ac.kr/xe/eng,"SKKU PHYSICS, 2066, Seobu-ro, Jangan-gu, Suwon-si, Gyeong Gi-do, Korea","25-2 Sungkyunkwan-ro, Myeongnyun 3(sam)ga-dong, Jongno-gu, Seoul, 南韓","cosmology,Experimental Gravitational Wave",No,,,,37.3003187,126.9697911
University Of Geneva,https://www.unige.ch/sciences/astro/en/,"24 rue du Général-Dufour
1211 Genève 4","1205 Geneva, 瑞士",,Yes,,,,46.19632209,6.142722569
University Of Waterloo,https://uwaterloo.ca/astrophysics-centre/,"Department of Physics and Astronomy
University of Waterloo
200 University Avenue West
Waterloo, Ontario, Canada N2L 3G1","200 University Ave W, Waterloo, ON N2L 3G1加拿大","Cosmology,Black hole,Gravitational waves and gravitational lenses,Galaxies,Stars,ISM,GR,QM",No,https://uwaterloo.ca/astrophysics-centre/postdoctoral-opportunities,https://uwaterloo.ca/astrophysics-centre/talks,,43.4682762,-80.5429494
Nanjing University,https://astronomy.nju.edu.cn/,"Astronomy Building, Xianlin Campus, Nanjing University, 163 Xianlin Avenue, Nanjing, Jiangsu, 210093, P.R.China","Gulou, Nanjing, Jiangsu, 中國","High Energy Astrophysics,Solar Physics,Galaxies and Cosmology,Celestial Mechanics and Planetary Dynamics,Astronomical Reference System and Astrometry,Space Weather,Spacecraft Orbit Design and Control",Yes,https://astronomy.nju.edu.cn/cpyc/cpyc/index.html,,,32.0689019,118.7647684
University Of Copenhagen,https://www.nbi.ku.dk/english/research/astrophysics/,"Blegdamsvej 17, 2100 København, Denmark","MHJC+3H Copenhagen Municipality, Denmark","Planets,Stars,Galaxies,Cosmology,High energy astrophysics",Yes,https://employment.ku.dk/,,,55.69682,12.57144881
Leiden University,https://www.universiteitleiden.nl/en/science/graduate-school-of-science/phd-programmes/astronomy,"Huygens Laboratory / J.H. Oort Building
Niels Bohrweg 2
NL-2333 CA Leiden
The Netherlands","Rapenburg 70, 2311 EZ Leiden, 荷蘭","Galaxies,Exoplanets, formation of stars and planets,NOVA",Yes,https://www.universiteitleiden.nl/en/science/astronomy/jobs,,,52.16863385,4.459663057
"Stony Brook University, State University Of New York",http://www.astro.sunysb.edu/,,"100 Nicolls Rd, Stony Brook, NY 11794美國","STARS AND COMPACT OBJECTS,GRAVITATIONAL WAVE ASTRONOMY,COSMOLOGY,EXTRAGALACTIC ASTRONOMY,ALGORITHM DEVELOPMENT",No,,http://www.astro.sunysb.edu/astro/seminars_share.html,,40.91465711,-73.1257626
Kth Royal Institute Of Technology,https://www.kth.se/en/sci/centra/rymdcenter,"KTH Royal Institute of Technology
SE-100 44 Stockholm
Sweden","Brinellvägen 8, 114 28 Stockholm, 瑞典","CubeSat,Jupiter Icy moon Explorer,Instrumentation",No,,,,59.3498183,18.0707826
Novosibirsk State University,https://education.nsu.ru/department_physics_english/,,"Novosibirsk, Novosibirsk Oblast, Russia, 630090",Aerophysics,No,,,,54.84767823,83.09423819
University of Auckland,https://www.iag.usp.br/international/,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas - Rua do Matão, 1226 - Cidade Universitária São Paulo-SP - Brasi","巴西 State of São Paulo, São Paulo, Butanta","Radioastronomy,Astrobiology,Atmospheric Sciences,Geophysics",No,,,,-23.5690555,-46.72188336
King'S College London,https://www.kcl.ac.uk/research/theoretical-particle-physics-cosmology,,"Strand, London WC2R 2LS, United Kingdom","Cosmology,Supersymmetry,Inflation,Loop Quantum Cosmology,Non-perturbative aspects in Field Theory,",No,,,,51.5113328,-0.1159326285
University Of Glasgow,http://www.astro.gla.ac.uk/,"Kelvin Building, University of Glasgow, Glasgow, G12 8QQ","Glasgow G12 8QQ, United Kingdom","Solar Physics,Plasma Physics,Cosmology,Radio Astronomy",No,,,,55.8609825,-4.2488787
Alma Mater Studiorum - University Of Bologna,https://physics-astronomy.unibo.it/en,"Università di Bologna - Via Zamboni, 33 - 40126 Bologna","Via Zamboni, 33, 40126 Bologna BO, Italy","AGN,Astronomical Instrumentation and Technology,Cosmology, clusters of galaxies and galaxy evolution,Extragalactic magnetic fields and nonthermal components,Galaxies and Interstellar Medium,Stars and Stellar Populations",No,,,,44.4968718,11.3524529
Michigan State University,https://astro.natsci.msu.edu/,"Biomedical & Physical Sciences Building
567 Wilson Rd, Rm 3261
East Lansing, MI 48824","Michigan, United States","STELLAR AND NUCLEAR ASTROPHYSICS,GALAXIES AND COSMOLOGY,COMPUTATIONAL ASTROPHYSICS,HIGH-ENERGY AND PARTICLE ASTROPHYSICS",Yes,https://astro.natsci.msu.edu/news-events/job-postings/,,,43.6211955,-84.6824346
University Of Bristol,https://www.bristol.ac.uk/physics/research/astrophysics/,"University of Bristol
Beacon House
Queens Road
Bristol, BS8 1QU, UK","Bristol BS8 1TH, United Kingdom","Active Galaxies,Black holes,Clusters of Galaxies,Data-Intensive Astronomy,Exoplanet Atmospheres,Galactic Line Emission,Galaxies and their Evolution,CMB,Planet Formation and Collisional Evolution",No,http://www.bristol.ac.uk/physics/research/astrophysics/postgrad/,,,51.4538022,-2.5972985
The Chinese University Of Hong Kong,http://www.phy.cuhk.edu.hk/research/areas.php?f=0,"Room 108, 1st Floor, Science Centre North Block, Department of Physics,
The Chinese University of Hong Kong,
Sha Tin, NT,
Hong Kong, China","The Chinese University of Hong Kong, Central Ave, Hong Kong","Phenomenological and Computational Astrophysics and Cosmology,High-energy Astro-particle Physics,High Energy Physics,Neutrino Oscillation Experiment,Star Formation,Computational Astrophysics,Gravitational Waves,Relativity and Astrophysics",No,,,,22.4202695,114.2078634
Rice University,https://physics.rice.edu/,"6100 Main St., Houston, TX 77005-1827","6100 Main St, Houston, TX 77005, United States","Star and Planet Formation,Space Plasma Physics",No,,,,29.7201347,-95.3987573
The Graduate University For Advanced Studies,https://guas-astronomy.jp/eng/index.html,,"Shonankokusaimura, Hayama, Miura District, Kanagawa 240-0193, Japan",,,,,,35.26117382,139.6083461
University Of Massachusetts Amherst,https://www.astro.umass.edu/academics/grad-program?_gl=1%2A224wam%2A_ga%2AOTkwNzM1OTQzLjE2MzMxNDUxODY.%2A_ga_21RLS0L7EB%2AMTYzMzE0NTE4Ni4xLjEuMTYzMzE0NjMwNC4w&_ga=2.127086861.1275811159.1633145186-990735943.1633145186,"Department of Astronomy
University of Massachusetts Amherst
Lederle Graduate Research Tower, 619-E
710 N Pleasant Street
Amherst, MA 01003-9305","Amherst, MA 01003美國","Interstellar Medium,Cometary Science,Star Formation,Galactic Structure and Dynamics,Galaxies,Cosmology",Yes,https://www.astro.umass.edu/about/jobs,,,42.3685658,-72.505714
University Of Cologne,https://www.gradschool.physics.uni-bonn.de/,"Department of Physics Physical Institute Zülpicher Str.77 50937 Köln, Germany","Zülpicher Str. 77, 50937 Köln, Germany","astrophysics,Cosmology",No,,,,50.92545256,6.932543998
Universität Basel,https://physik.unibas.ch/en/,"Oliver Müller, Universität Basel, Departement Physik","Petersplatz 1, 4001 Basel, 瑞士","Cosmology,Theoretical Astrophysics",No,,,,47.55823375,7.582858346
National Central University,https://www.astro.ncu.edu.tw/index_e.php,,"No. 300, Zhongda Road, Zhongli District, Taoyuan City, 320","High Energy Astrophysics,Extragalactic Astronomy,Infrared Astronomy,Astrophysics,Solar System,Planetary Science,Transient Astronomy",Yes,https://www.astro.ncu.edu.tw/index_e.php,https://www.astro.ncu.edu.tw/activity/colloquium_e.php,,24.97159229,121.1919641
National Tsing Hua University,http://www.astr.nthu.edu.tw/index.php?Lang=en,"General Building II, NTHU, No. 101, Section 2, Kuang-Fu Road, Hsinchu 30013, Taiwan, R.O.C","No. 101號, Section 2, Guangfu Road, East District, Hsinchu City, 300","Astronomical survey,Compact objects,Computational explosive astrophysics,Feedback in galaxies and clusters,Galaxy formation and galaxy archaeology,High energy astrophysics,Interstellar magnetic fields,Cosmology,Radio astronomy",No,,,,24.79172355,120.992207
Aryabhatta Research Institute of Observational Sciences,https://www.aries.res.in/,"Manora Peak, Nainital-263001, Uttarakhand, India","Manora peak, Beluwakhan, Uttarakhand 263002印度","Sun and related phenomena,Stars, binary stars and stellar variability,Star formation and stellar evolution,Inter stellar medium and dust,Astronomical catastrophic transients,Formation and evolution of galaxies,Nuclei of active galaxies and related phenomena,Theoretical and numerical astrophysics,Development of observing facilities for astronomy",Yes,https://www.aries.res.in/opportunities/faculty-positions,,,29.35933332,79.45804673
Indian Institute of Astrophysics,https://www.iiap.res.in/,"Indian Institute of Astrophysics,
II Block, Koramangala,
Bengaluru 560 034, INDIA","Sarjapur Main Road, 2nd Block, Koramangala, Bengaluru, Karnataka 560034印度","Sun And Solar System,Stars and Galaxies,Theory,Instrumentation",Yes,https://www.iiap.res.in/?q=graduate_page,,,12.92640012,77.6212584
Tata Institute of Fundamental Research,https://www.tifr.res.in/~daa/,"Tata Inst. of Fundamental Research
Homi Bhabha Road, Colaba
Mumbai 400005, INDIA","Dr Homi Bhabha Road, Navy Nagar, Colaba, Mumbai, Maharashtra 400005印度","X-Ray and Gamma Ray Astronomy,Infrared and Optical Astronomy,Theoretical Astrophysics",No,https://www.tifr.res.in/~daa/career.html,,,18.9068911,72.8051318
National Center for Radio Astronomy,http://www.ncra.tifr.res.in/ncra/main,"Pune University Campus, Post Bag 3, Ganeshkhind Pune 411007, INDIA","Savitribai Phule Pune University Campus, Spicer College Road, opp. Botanical Garden, Ganeshkhind, Pune, Maharashtra 411007印度","The Sun and the Heliosphere,The Milky Way,Pulsars and Transients,Pulsar Surveys,The Interstellar Medium,Nearby Galaxies,Active Galaxies and Clusters,High Redshift Galaxies,Cosmology and the Epoch of Reionization,Fundamental Constant Evolution,Extragalactic Deep Fields,Radio Continuum Surveys,The Intergalactic Medium,The Giant Metrewave Radio Telescope,The Ooty Radio Telescope,The Square Kilometre Array,Astronomical instrumentation",Yes,http://www.ncra.tifr.res.in/ncra/opportunities,,,18.56029255,73.82618441
Inter-University Centre for Astronomy and Astrophysics,https://www.iucaa.in/,,"Post Bag 4, Ganeshkhind, Pune, Maharashtra 411007印度","Classical and quantum gravity,Cosmic magnetic fields,Cosmic Microwave Background studies,Cosmology and large scale structure,Galactic and extragalactic astronomy,Gravitational waves,High energy astrophysics,Instrumentation for astronomy,Interstellar medium,Observational Astronomy,Quantum metrology for precision measurements,Solar Physics,Solar system and stellar physics,Virtual observatory",Yes,https://www.iucaa.in/Opportunities.html,,,18.55935337,73.82532223
Indian Institute of Space Science and Technology,https://www.iist.ac.in/,,"Valiamala Road, Valiamala, Kerala 695547印度",,No,,,,8.626494516,77.03380428
Raman Research Institute,http://www.rri.res.in/,,"C. V. Raman Avenue, 5th Cross Road, Sadashivanagar, Near Mekhri Circle, Bengaluru, Karnataka 560080印度","Theoretical Astrophysics and Cosmology,Observational Astronomy,Experimental Astronomy,Algorithms & Signal Processing",No,,,,13.01290922,77.58044069
Physical Research Lab,https://www.prl.res.in/prl-eng/,,"Physical Research Laboratory, University Area, Ahmedabad, Gujarat 380009印度","Optical and Infrared Astronomy,Planetary SciencesTheoretical Physics",No,https://www.prl.res.in/prl-eng/faculty_opening,,,23.03559118,72.54313423
Bose Institute,http://www.jcbose.ac.in/centre-for-astroparticle-physics-space-sciences,"P-1/12, CIT Road Scheme VIIM
Kolkata 700 054 WB India","P-1/12, CIT Rd, Scheme VIIM, Kankurgachi, Kolkata, West Bengal 700054印度","Astrophysics,Cosmology,Quantum Physics,Radiophysics and climate related topics",No,,,,22.58614611,88.39358732
Saha Institute of Nuclear Physics,http://www.saha.ac.in/web/npd-home,,"Sector 1, AF Block, Bidhan Nagar, Bidhannagar, Kolkata, West Bengal 700064印度",Low energy nuclear astrophysics,No,,,,22.6010929,88.42095846
"Department of Physics and Astrophysics , University of Delhi",http://physics.du.ac.in/,,"Sector 1, AF Block, Bidhan Nagar, Bidhannagar, Kolkata, West Bengal 700064印度",Astrophysics and Cosmology,No,,,,28.58408004,77.16337381
Hawaii University,http://www.ifa.hawaii.edu,,"2444 Dole St, Honolulu, HI 96822美國","The Sun,Solar System,Exoplanets,Stars,Interstellar Matter and Star Formation,Galaxies,Galaxy Clustering,Cosmology,Surveys,Instrumentation Development",Yes,,,,21.29904609,-157.8223274
The University of Virginia,https://astronomy.as.virginia.edu,"Department of Astronomy
P.O. Box 400325
530 McCormick Road
Charlottesville, VA 22904-4325","Charlottesville, VA, 美國","Theoretical and Computational Astrophysics,Planetary Science,Stellar and Planetary Astrophysics,Star Formation and the ISM,Galactic Structure and the APOGEE project,Extragalactic Astronomy, including AGN,X-ray Astonomy and Clusters of Galaxies,Instrumentation Development,Astrochemistry,Near-Field Cosmology",Yes,,,,38.03365429,-78.50815959
University of Toronto,https://www.dunlap.utoronto.ca/,,,"SOLAR SYSTEMS & EXOPLANETS,STARS,GALAXIES,ORIGIN OF THE UNIVERSE,INSTRUMENTATION",Yes,,,,43.66301586,-79.3957315
NASA,https://www.nasa.gov/,,,,,https://www.nasa.gov/careers/how-to-apply,,,41.41617319,-81.858251
JPL,https://www.jpl.nasa.gov/,,"4800 Oak Grove Dr, Pasadena, CA 91109美國","4800 Oak Grove Dr, Pasadena, CA 91109美國",,https://www.jpl.jobs/search-results,,,34.20137907,-118.1713729
ESA,http://www.esa.int/,,"24 Rue du Général Bertrand CS 30798, 75007 Paris, 法國",,,http://www.esa.int/About_Us/Careers_at_ESAA,,,48.84690095,2.313627015
JAXA,https://global.jaxa.jp/,,,,,https://global.jaxa.jp/about/employ/index.html,,,36.0707689,140.1302899
Canadian Institute of Theoretical Astrophysics,https://www.cita.utoronto.ca/,,"60 St George St, Toronto, ON M5S 3H8加拿大","The Early Universe, Large Scale Structure and Cosmic Microwave Background,Galaxies,Interstellar Medium,Black Holes, Neutron Stars & White Dwarfs,Planets and Planetary Systems",Yes,,,,43.66048016,-79.39851766
Herzberg Astronomy and Astrophysics Research Centre,https://nrc.canada.ca/en/research-development/research-collaboration/research-centres/herzberg-astronomy-astrophysics-research-centre,,,"ALMA research and development,CFHT research and development,Gemini Observatory research and development",Yes,,,,48.52037414,-123.4184238
Origins Institute,https://origins.mcmaster.ca/,,"A.N Bourns Science Building, College Ct, Hamilton, ON L8S 4L8加拿大","Origin of Space-Time,Origins of Structure in the Cosmos,Origins of Elements,Origin of Life,Origins of Species & Biodiversity,Origins of Consciousness",Yes,,,,43.26018321,-79.92181624
Perimeter Institute,https://perimeterinstitute.ca/,,"31 Caroline St N, Waterloo, ON N2L 2Y5加拿大","Cosmology,Strong gravity",No,,,,43.4654327,-80.52724159
University of Arizona,https://www.as.arizona.edu,,,,,,,,32.2319667604646,-110.950141588769
Duke University,https://physics.duke.edu/research/astrophysics,,,,,,,,36.0033532878986,-78.9422323364796
Pontificia Universidad Católica de Chile (UC),https://astro.uc.cl/en/grados-y-docencia-2/doctorate-in-astrophysics,,,,,,,,-33.4417441123165,-70.6399329445626
Monash University,https://www.monash.edu/science/schools/physics/postgrad,,,,,,,,-37.910295902575,145.13184637145
University of Birmingham,https://www.birmingham.ac.uk/postgraduate/courses/research/physics/physics-astronomy-phd.aspx?OpenSection=FeesAndFunding,,,,,,,,52.4533184655282,-1.92806828022031
University of Zurich,https://www.ctac.uzh.ch/en/,,,,,,,,47.3970652916889,8.54817999631806
Yonsei University,https://devcms.yonsei.ac.kr/galaxy_en/index.do,,,,,,,,37.5658560993445,126.938491448905
Brown University,https://www.brown.edu/academics/physics/astrophysics-cosmology,,,,,,,,41.8267506368386,-71.3986387494223
Chalmers University of Technology,https://www.chalmers.se/en/departments/see/research/Astronomy-and-Plasma-Physics/Pages/default.aspx,,,,,,,,57.689806115708,11.9740436813376
The University of Queensland,https://smp.uq.edu.au/research/astrophysics,,,,,,,,-27.4975884341318,153.013551022772
The University of Sheffield,https://www.sheffield.ac.uk/physics/research/astrophysics,,,,,,,,53.3813245815702,-1.4887876820359
Stockholm University,https://www.astro.su.se/english/,,,,,,,,59.3621682141525,18.0576056930459
University of Minnesota Twin Cities,https://cse.umn.edu/mifa,,,,,,,,44.9752778434345,-93.2345776055003
University of Göttingen,https://www.uni-goettingen.de/en/institute/215072.html,,,,,,,,51.5592712199814,9.94534652529372
KU Leuven,https://fys.kuleuven.be/ster,,,,,,,,50.8627256126783,4.67665937301292
Queen Mary University of London,https://www.qmul.ac.uk/spcs/astro/,,,,,,,,51.524081564765,-0.040457023136458
Radboud University,https://www.ru.nl/astrophysics/,,,,,,,,51.8248642846254,5.86874156578356
University of Nottingham,https://www.nottingham.ac.uk/astronomy/,,,,,,,,52.9426021374055,-1.19159864767077
Universitat de Valencia,https://www.uv.es/uvweb/astronomy-astrophysics-department/en/department-astronomy-astrophysics-1285854555555.html,,,,,,,,39.5072944032128,-0.42003339010254
Universität Innsbruck,https://www.uibk.ac.at/astro/index.html.en,,,,,,,,47.2649553950711,11.3428291828202
University of Vienna,https://astro.univie.ac.at/en/,,,,,,,,48.2314504508211,16.3342251693584
Université de Paris,http://www.iap.fr/institut/presentation/presentation.php,,,,,,,,48.8347750074358,2.33529602704939
University of Florida,https://astro.ufl.edu,,,,,,,,29.6489241751745,-82.3457936464989
University of St Andrews,https://astronomy.wp.st-andrews.ac.uk,,,,,,,,56.3399592739328,-2.80981367453507
Uppsala University,https://www.physics.uu.se/research/astronomy-and-space-physics/,,,,,,,,59.8390633298755,17.6469606814191
Weizmann Institute of Science ,https://www.weizmann.ac.il/particle/,,,,,,,,31.9037905136628,34.8080422265651
University of North Carolina–Chapel Hill,https://physics.unc.edu,,,,,,,,35.9104981879082,-79.0527046955632
University of New South Wales,https://www.science.unsw.edu.au/engagement/scixunsw-science-extension-program/astronomy,,,,,,,,-33.9181135257726,151.22943120602
University of Pittsburgh,https://www.physicsandastronomy.pitt.edu,,,,,,,,40.4445851597029,-79.9582125761416
University of Texas–Austin,https://astronomy.utexas.edu,,,,,,,,30.2889820071943,-97.7364875442942
King Abdulaziz University,https://astr.kau.edu.sa/Default-13006-EN,,,,,,,,21.4932874512659,39.2391580263582
Catholic University of Leuven,https://fys.kuleuven.be/ster,,,,,,,,50.8627750105034,4.67657187554698
Utrecht University,https://www.uu.nl/en/organisation/department-of-physics,,,,,,,,52.0852622028701,5.17550257143005
Vanderbilt University,https://as.vanderbilt.edu/physics/,,,,,,,,36.14439034398,-86.8021982021652
Emory University,http://www.physics.emory.edu/home/undergrad/astronomy/index.html,,,,,,,,33.7904324097964,-84.3269240500993
Wageningen University and Research Center,https://www.wur.nl/en/research-results/chair-groups/wur-physical-sciences.htm,,,,,,,,51.9845557797164,5.66580178482794
University of California–Irvine,https://www.physics.uci.edu,,,,,,,,33.6440548392678,-117.843405773393
University of Groningen,https://www.rug.nl/bachelors/astronomy/?lang=en,,,,,,,,53.219308347489,6.56301938487137
University of Cape Town,http://www.ast.uct.ac.za,,,,,,,,-33.9575985863756,18.4612312842856
University of Bern,https://www.aiub.unibe.ch/index_eng.html,,,,,,,,46.9513215323736,7.43886250739407
McMaster University,https://physics.mcmaster.ca,,,,,,,,43.2609267918928,-79.9192188620905
University of Leeds,https://eps.leeds.ac.uk/physics,,,,,,,,53.8053903299783,-1.55240760161423
University of Montreal,https://www.umontreal.ca/en/astrophysics/,,,,,,,,45.5057788398419,-73.6137822115323
University of Exeter,http://emps.exeter.ac.uk/physics-astronomy/research/astrophysics/,,,,,,,,50.7369195971978,-3.5364564196512
University of Sussex,https://www.sussex.ac.uk/research/centres/astronomy/,,,,,,,,50.8642372363108,-0.0869163152109124
Lancaster University,https://www.lancaster.ac.uk/physics/research/astrophysics/,,,,,,,,54.0106643523259,-2.78413920160687